epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,-1,0.029576257864634196,1.922320,18.1600,1.77,2818
2,-1,0.059411799907684325,1.699954,35.8500,1.52,3282
3,-1,0.08906617959340414,1.555348,44.0700,1.48,3386
4,-1,0.11575661102930705,1.432954,40.5000,1.30,3837
5,-1,0.13798881371816,1.419294,51.4300,1.33,3749
6,-1,0.16455721060434977,1.322618,51.8900,1.31,3813
7,-1,0.19049227237701416,1.252436,52.3200,1.26,3981
8,-1,0.21677648623784382,1.166209,46.3900,1.27,3934
9,-1,0.2376297076543172,1.081260,58.1600,1.25,3996
10,-1,0.2640766461690267,1.040916,54.4500,1.29,3890
11,-1,0.2848710298538208,0.978940,53.6400,1.25,4008
12,-1,0.30535847345987954,0.990762,59.7700,1.23,4068
13,-1,0.33171289761861167,0.944879,55.2600,1.28,3894
14,-1,0.3541489243507385,0.919137,61.7200,1.35,3714
15,-1,0.3792495846748352,0.852990,63.5900,1.20,4165
16,-1,0.4069258451461792,0.772844,66.9400,1.36,3682
17,-1,0.4344414790471395,0.856483,61.8400,1.33,3753
18,-1,0.4545038938522339,0.792875,62.5700,1.20,4154
19,-1,0.47511000633239747,0.762827,67.3800,1.24,4044
20,-1,0.4999786933263143,0.657490,62.1200,1.21,4137
21,-1,0.5201847791671753,0.662235,66.4900,1.21,4124
22,-1,0.5414056102434794,0.645549,66.1600,1.27,3927
23,-1,0.5621671120325724,0.684451,66.8300,1.25,4014
24,-1,0.5833615303039551,0.775870,62.4200,1.27,3932
25,-1,0.604073989391327,0.704000,66.7500,1.24,4024
26,-1,0.625097914536794,0.625086,67.4400,1.26,3964
27,-1,0.6535836418469747,0.538883,68.8800,1.41,3555
28,-1,0.6865982015927633,0.662910,66.1400,1.61,3102
29,-1,0.7113627115885417,0.582838,67.3900,1.49,3365
30,-1,0.7372831304868063,0.502759,69.2800,1.56,3215
31,-1,0.7645747025807699,0.507983,69.9000,1.32,3783
32,-1,0.7925900300343831,0.549053,70.1100,1.38,3633
33,-1,0.8195220669110616,0.457407,71.0400,1.33,3752
34,-1,0.8473134636878967,0.439902,65.6600,1.38,3630
35,-1,0.8743480960528056,0.425030,69.9900,1.62,3083
36,-1,0.9014898141225179,0.391164,68.7800,1.63,3070
37,-1,0.9293329993883769,0.359134,70.8500,1.67,2993
38,-1,0.9591931541760762,0.368306,70.9700,1.79,2791
39,-1,0.9824684580167135,0.347256,68.7700,1.40,3581
40,-1,1.0048388640085857,0.370859,68.5900,1.34,3725
