epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,-1,0.03915406068166097,1.940464,18.5700,2.35,2128
2,-1,0.07880779107411702,1.705942,37.5500,2.04,2453
3,-1,0.11134387652079264,1.541782,40.7500,1.62,3077
4,-1,0.14185699224472045,1.455690,43.6000,1.49,3350
5,-1,0.17273980776468914,1.407074,49.0900,1.48,3385
6,-1,0.20433202187220256,1.277774,53.8000,1.51,3305
7,-1,0.23854585886001586,1.241366,55.2700,1.66,3006
8,-1,0.26856948137283326,1.178074,45.4200,1.43,3502
9,-1,0.29387207825978595,1.131684,57.8900,1.52,3294
10,-1,0.32579840819040934,1.059289,50.0600,1.53,3276
11,-1,0.35105926990509034,1.028742,56.3000,1.52,3299
12,-1,0.3767720818519592,1.023574,54.5900,1.54,3241
13,-1,0.4015053550402323,1.002788,56.5400,1.48,3369
14,-1,0.4296313802401225,0.925499,61.7500,1.69,2963
15,-1,0.46099477211634315,0.876319,63.7400,1.51,3302
16,-1,0.4913682500521342,0.785449,63.6800,1.50,3334
17,-1,0.5176636894543966,0.860830,61.9400,1.58,3169
18,-1,0.5443835218747457,0.805465,64.7500,1.60,3119
19,-1,0.574566904703776,0.795476,63.4900,1.50,3344
20,-1,0.5998357097307842,0.738077,65.2100,1.52,3298
21,-1,0.630873437722524,0.680731,64.6900,1.53,3261
22,-1,0.6580353458722432,0.706564,64.1600,1.63,3068
23,-1,0.683363159497579,0.705777,57.3000,1.52,3290
24,-1,0.7091810464859009,0.867875,62.3800,1.55,3228
25,-1,0.7346365650494894,0.793006,65.4400,1.53,3274
26,-1,0.7643736600875854,0.684393,67.3500,1.46,3430
27,-1,0.7954588770866394,0.582026,67.7300,1.53,3275
28,-1,0.8261648178100586,0.559120,69.6600,1.51,3318
29,-1,0.8576649188995361,0.638652,67.0800,1.55,3220
30,-1,0.8828349749247233,0.523717,69.0700,1.51,3311
31,-1,0.9071027040481567,0.646359,64.7200,1.46,3434
32,-1,0.9328168034553528,0.608507,68.0500,1.54,3241
33,-1,0.9582040031750997,0.534674,67.3300,1.52,3283
34,-1,0.9833755731582642,0.618548,70.0700,1.51,3311
35,-1,1.015110691388448,0.502178,69.6200,1.55,3234
36,-1,1.0400707284609476,0.440481,64.3900,1.50,3339
37,-1,1.065438973903656,0.495185,68.6200,1.52,3285
38,-1,1.091537563006083,0.492010,65.1900,1.57,3193
39,-1,1.1164993524551392,0.598050,67.0600,1.50,3339
40,-1,1.1415707111358642,0.477165,67.7000,1.50,3324
41,-1,1.1666300694147747,0.456109,69.9500,1.50,3326
42,-1,1.1916175444920858,0.399764,71.1800,1.50,3335
43,-1,1.2212518056233723,0.425664,70.9000,1.44,3474
44,-1,1.24736803372701,0.378475,71.0800,1.57,3191
45,-1,1.2739802877108255,0.427203,69.5900,1.60,3132
46,-1,1.2989522139231364,0.409903,72.0400,1.50,3337
47,-1,1.3309303045272827,0.406105,69.0000,1.56,3201
48,-1,1.355667761961619,0.361109,71.9600,1.48,3369
49,-1,1.3800830880800883,0.352405,71.5100,1.46,3413
50,-1,1.40858998298645,0.366205,69.1700,1.71,2923
51,-1,1.4385471622149149,0.417580,70.5900,1.80,2782
52,-1,1.4659804304440816,0.290616,72.8300,1.65,3038
53,-1,1.5000059366226197,0.319706,73.6900,1.67,3001
54,-1,1.5327552358309429,0.217394,71.6200,1.63,3060
55,-1,1.561097300052643,0.360381,71.4200,1.70,2940
56,-1,1.589495058854421,0.306344,72.7600,1.70,2935
57,-1,1.617248777548472,0.304950,72.8500,1.67,3003
58,-1,1.644611394405365,0.216006,72.9900,1.64,3046
59,-1,1.6724575320879618,0.241072,73.1700,1.67,2993
60,-1,1.7005972743034363,0.215964,72.2000,1.69,2962
61,-1,1.7280967036883037,0.361889,73.0500,1.65,3031
62,-1,1.7550331751505535,0.241544,73.6200,1.62,3094
63,-1,1.7821781237920125,0.238724,73.2000,1.63,3070
64,-1,1.8102074186007182,0.190655,73.8000,1.68,2973
65,-1,1.8437172293663024,0.297834,72.8800,1.68,2976
66,-1,1.87140611410141,0.206976,73.7400,1.66,3010
67,-1,1.8990664919217428,0.174919,73.5600,1.66,3013
68,-1,1.9261417667071024,0.300632,73.2100,1.62,3078
69,-1,1.9546828468640645,0.233144,72.9400,1.71,2920
70,-1,1.9819317698478698,0.194886,73.8800,1.63,3058
71,-1,2.0151483098665874,0.194127,73.6700,1.66,3012
72,-1,2.0430513779322306,0.181767,73.7200,1.67,2987
73,-1,2.0717180053393047,0.250683,73.8900,1.72,2907
74,-1,2.108554156621297,0.271471,73.2800,1.84,2721
75,-1,2.1365473667780557,0.195607,73.6000,1.68,2977
76,-1,2.1629141489664714,0.157913,74.3600,1.58,3161
77,-1,2.196435252825419,0.151358,74.0800,1.67,2985
78,-1,2.2238208929697674,0.160219,73.6000,1.64,3043
79,-1,2.2513461391131084,0.176778,73.8200,1.65,3028
80,-1,2.2793980916341146,0.150389,73.8600,1.68,2971
81,-1,2.307340391476949,0.141024,73.9100,1.68,2983
82,-1,2.336152768135071,0.131824,74.1100,1.73,2892
83,-1,2.363219352563222,0.144766,73.8000,1.62,3079
84,-1,2.3927110195159913,0.132168,74.1000,1.77,2826
85,-1,2.428090266386668,0.126583,74.1800,2.12,2356
86,-1,2.4604554851849874,0.131539,74.4000,1.94,2575
87,-1,2.501178232828776,0.125765,73.6400,2.05,2443
88,-1,2.5310250401496885,0.150059,73.5700,1.79,2792
89,-1,2.5593139131863913,0.113952,73.9400,1.70,2946
90,-1,2.589409625530243,0.129195,73.8400,1.81,2769
91,-1,2.617886718114217,0.138007,73.8600,1.71,2926
92,-1,2.6471416036287945,0.114886,74.0000,1.76,2849
93,-1,2.677084004878998,0.123484,74.0200,1.80,2783
94,-1,2.706372384230296,0.176560,74.3700,1.76,2845
95,-1,2.7419544021288553,0.111846,73.7800,2.13,2342
96,-1,2.782214299837748,0.103298,74.0800,2.42,2070
97,-1,2.8199400266011554,0.140608,74.0400,2.26,2209
98,-1,2.8684630036354064,0.142602,74.0800,2.91,1717
99,-1,2.9085381944974262,0.103529,74.3000,2.40,2080
100,-1,2.938467228412628,0.130681,74.1300,1.80,2785
