epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,-1,0.037292508284250896,1.787348,40.6500,2.24,4469
2,-1,0.07319235801696777,1.497469,47.3600,1.88,5306
3,-1,0.10789186557133992,1.294181,52.6000,1.69,5901
4,-1,0.13901999791463215,1.200531,51.1700,1.59,6289
5,-1,0.16495615641276043,1.093226,59.0100,1.56,6426
6,-1,0.19752670129140218,1.018204,58.8900,1.68,5961
7,-1,0.2226376454035441,0.955801,64.1700,1.51,6638
8,-1,0.25404578844706216,0.883744,52.5400,1.61,6224
9,-1,0.2810960292816162,0.838449,63.3400,1.62,6162
10,-1,0.3059550921122233,0.786993,58.4700,1.49,6705
11,-1,0.33187368710835774,0.747409,68.6400,1.56,6431
12,-1,0.36277178128560383,0.700245,67.1400,1.57,6381
13,-1,0.38906269470850624,0.642194,69.9000,1.58,6340
14,-1,0.4199781020482381,0.631795,66.0900,1.59,6305
15,-1,0.44846083720525104,0.608715,70.4300,1.71,5852
16,-1,0.47821836868921913,0.573677,75.1100,1.52,6598
17,-1,0.5099840720494588,0.519846,73.6600,1.61,6197
18,-1,0.5362559755643209,0.495651,73.5500,1.58,6344
19,-1,0.5630907018979391,0.499101,73.3000,1.61,6211
20,-1,0.5890233715375265,0.453436,74.9000,1.56,6427
21,-1,0.6156538089116415,0.415077,73.5200,1.60,6259
22,-1,0.6412603259086609,0.407285,74.6500,1.54,6509
23,-1,0.6677440444628397,0.363865,76.0700,1.59,6293
24,-1,0.6979437033335368,0.346203,76.3100,1.54,6509
25,-1,0.7284621556599935,0.363635,76.6800,1.56,6406
26,-1,0.7583260655403137,0.328456,76.2100,1.56,6430
27,-1,0.7857230544090271,0.300100,74.6900,1.64,6084
28,-1,0.8114709536234538,0.277096,76.8900,1.54,6473
29,-1,0.8420960823694865,0.289052,78.5100,1.56,6428
30,-1,0.8735883196194967,0.235677,76.1800,1.61,6229
31,-1,0.90013560851415,0.230680,76.8700,1.59,6278
32,-1,0.9273593783378601,0.218875,78.4500,1.63,6122
33,-1,0.9539490421613057,0.189929,77.8800,1.60,6268
34,-1,0.9806908567746481,0.198589,77.1400,1.60,6233
35,-1,1.0065112233161926,0.202857,78.9800,1.55,6455
36,-1,1.0391483823458354,0.159530,78.7500,1.68,5935
37,-1,1.064999032020569,0.128263,78.4500,1.55,6448
38,-1,1.090745460987091,0.130544,79.0500,1.54,6474
39,-1,1.1244141538937886,0.119743,78.9300,1.75,5715
40,-1,1.1506685972213746,0.161065,79.3700,1.58,6349
41,-1,1.1822569648424783,0.109000,78.8400,1.62,6161
42,-1,1.2088724573453267,0.097041,78.7900,1.60,6262
43,-1,1.2362710197766622,0.086769,79.2500,1.64,6083
44,-1,1.2623955647150675,0.076396,79.7600,1.57,6380
45,-1,1.2940324147542317,0.066994,79.7200,1.63,6149
46,-1,1.3206000367800395,0.069912,79.9400,1.59,6274
47,-1,1.3524842182795207,0.057307,80.1200,1.63,6123
48,-1,1.383198086420695,0.064765,80.5100,1.57,6374
49,-1,1.4144366979599,0.060242,80.3400,1.60,6232
50,-1,1.4409586310386657,0.047293,80.2800,1.59,6284
51,-1,1.4678645332654316,0.043743,80.2400,1.61,6195
52,-1,1.4949381669362387,0.040547,80.1200,1.62,6156
53,-1,1.5217333356539409,0.035594,80.3200,1.61,6220
54,-1,1.5485701481501262,0.035944,80.4600,1.61,6211
55,-1,1.5771086494127908,0.035267,80.1500,1.71,5840
56,-1,1.6035288254419962,0.035833,80.6600,1.59,6309
57,-1,1.6340303977330526,0.031202,80.5000,1.56,6427
58,-1,1.6599135597546895,0.028032,80.5100,1.55,6439
59,-1,1.6855363329251607,0.030851,80.4100,1.54,6505
60,-1,1.7126720786094665,0.042023,80.6300,1.63,6142
