epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,100,0.029723878701527914,1.739359,,,
1,200,0.047219622135162356,1.565793,,,
1,300,0.0635376214981079,1.446968,,,
1,-1,0.08979425032933554,1.365281,58.3600,5.39,9280
2,100,0.11643595695495605,1.017676,,,
2,200,0.1340859611829122,0.986364,,,
2,300,0.15166600942611694,0.961933,,,
2,-1,0.18220050732294718,0.939725,61.2100,5.29,9451
3,100,0.21110941569010416,0.786589,,,
3,200,0.2296764612197876,0.789814,,,
3,300,0.24769471486409506,0.781044,,,
3,-1,0.27491281032562254,0.771024,74.6300,5.30,9426
4,100,0.29984200398127236,0.687244,,,
4,200,0.3175624171892802,0.680711,,,
4,300,0.3357499202092489,0.681215,,,
4,-1,0.36134106318155923,0.675660,73.1200,4.92,10169
5,100,0.3815461834271749,0.619940,,,
5,200,0.3995099703470866,0.614889,,,
5,300,0.4182962656021118,0.610163,,,
5,-1,0.44462143182754515,0.609976,74.8500,5.00,10007
6,100,0.4695742964744568,0.549857,,,
6,200,0.4873259941736857,0.562927,,,
6,300,0.5055667599042256,0.556166,,,
6,-1,0.5316750367482503,0.554615,80.2400,4.97,10058
7,100,0.558772873878479,0.523224,,,
7,200,0.5763958136240641,0.520784,,,
7,300,0.5940067489941915,0.518743,,,
7,-1,0.6196668386459351,0.520847,82.5900,5.04,9930
8,100,0.6458760182062785,0.492763,,,
8,200,0.6626844286918641,0.483482,,,
8,300,0.6794333060582479,0.483998,,,
8,-1,0.7057505011558532,0.481522,81.9700,4.91,10187
9,100,0.7249802947044373,0.455454,,,
9,200,0.7425417939821879,0.453488,,,
9,300,0.7595206141471863,0.456736,,,
9,-1,0.7842211325963339,0.454247,82.0300,4.71,10620
10,100,0.8037772218386332,0.414198,,,
10,200,0.8213493625322977,0.426032,,,
10,300,0.8379023472468058,0.423561,,,
10,-1,0.8618683457374573,0.423650,83.7900,4.66,10732
11,100,0.8851811170578003,0.396668,,,
11,200,0.9032314221064249,0.396461,,,
11,300,0.9203360160191854,0.401971,,,
11,-1,0.9450539469718933,0.401042,82.4500,4.75,10529
12,100,0.9645216584205627,0.368122,,,
12,200,0.9810216228167216,0.367716,,,
12,300,0.9982684214909872,0.372374,,,
12,-1,1.0223411758740744,0.374145,83.9500,4.64,10782
13,100,1.0458706498146058,0.342836,,,
13,200,1.0629509607950847,0.350886,,,
13,300,1.0803345839182537,0.355089,,,
13,-1,1.1057468096415202,0.353848,83.7700,4.77,10491
14,100,1.125522208213806,0.312164,,,
14,200,1.144071058432261,0.319961,,,
14,300,1.160664721330007,0.321972,,,
14,-1,1.1865073959032695,0.326907,83.1400,4.85,10319
15,100,1.2063655932744344,0.309550,,,
15,200,1.2232469161351522,0.312386,,,
15,300,1.2407530903816224,0.316494,,,
15,-1,1.2659250338872274,0.315699,85.5800,4.76,10493
16,100,1.2895520448684692,0.288112,,,
16,200,1.3070751587549845,0.289447,,,
16,300,1.3242810010910033,0.295054,,,
16,-1,1.3495291829109193,0.297149,84.0800,4.77,10487
17,100,1.3693358620007834,0.277831,,,
17,200,1.3864935000737508,0.276738,,,
17,300,1.403483259677887,0.276571,,,
17,-1,1.4287788311640421,0.278171,84.7700,4.75,10515
18,100,1.4490392208099365,0.249201,,,
18,200,1.4659192204475402,0.261136,,,
18,300,1.4837394595146178,0.264433,,,
18,-1,1.5081934452056884,0.263269,86.3400,4.76,10494
19,100,1.5329577684402467,0.238477,,,
19,200,1.550646956761678,0.242100,,,
19,300,1.5695497194925945,0.244472,,,
19,-1,1.5942143400510151,0.247109,86.9100,4.89,10219
20,100,1.6194294532140097,0.227707,,,
20,200,1.6386053840319315,0.230584,,,
20,300,1.6565194884936014,0.234580,,,
20,-1,1.6817257285118103,0.235855,87.3600,5.01,9987
21,100,1.7060085535049438,0.197358,,,
21,200,1.7234333435694376,0.207311,,,
21,300,1.7411453604698182,0.215367,,,
21,-1,1.765869383017222,0.217927,87.2100,4.79,10436
22,100,1.7858009656270346,0.212594,,,
22,200,1.80322984457016,0.203808,,,
22,300,1.8221144477526348,0.210627,,,
22,-1,1.849902625878652,0.208970,86.9700,5.04,9917
23,100,1.8745511412620544,0.190750,,,
23,200,1.892616323630015,0.191483,,,
23,300,1.910298478603363,0.192139,,,
23,-1,1.9366415858268737,0.194448,87.3000,5.20,9608
24,100,1.9573297262191773,0.167054,,,
24,200,1.9748970071474712,0.177162,,,
24,300,1.9930662830670676,0.178565,,,
24,-1,2.02081599632899,0.180945,87.2100,5.05,9900
25,100,2.041507399082184,0.160297,,,
25,200,2.059209915002187,0.167833,,,
25,300,2.077311662832896,0.169451,,,
25,-1,2.104131813844045,0.171220,88.1900,5.00,10002
26,100,2.1288045763969423,0.155067,,,
26,200,2.147067058086395,0.155905,,,
26,300,2.165493965148926,0.157449,,,
26,-1,2.1925843318303424,0.159106,88.0200,5.06,9885
27,100,2.2137600978215537,0.143593,,,
27,200,2.232075568040212,0.144583,,,
27,300,2.250410258769989,0.145963,,,
27,-1,2.276708694299062,0.146448,87.9200,5.05,9906
28,100,2.297537072499593,0.124926,,,
28,200,2.3161221861839296,0.133955,,,
28,300,2.3338873744010926,0.139266,,,
28,-1,2.3606741786003114,0.138794,87.2300,5.04,9925
29,100,2.3816355029741922,0.120456,,,
29,200,2.3998565832773844,0.126638,,,
29,300,2.4198995153109233,0.130595,,,
29,-1,2.4469764391581217,0.131458,87.5600,5.18,9656
30,100,2.468085515499115,0.110752,,,
30,200,2.486369868119558,0.115070,,,
30,300,2.5045175075531008,0.120373,,,
