epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,100,0.03314886490503947,1.739359,,,
1,200,0.0517310380935669,1.565793,,,
1,300,0.06992872556050618,1.446968,,,
1,-1,0.09745974540710449,1.365281,58.3600,5.85,8551
2,100,0.12517335017522177,1.017676,,,
2,200,0.1442378362019857,0.986364,,,
2,300,0.16235782702763876,0.961933,,,
2,-1,0.19330377578735353,0.939725,61.2100,5.49,9102
3,100,0.22319026390711466,0.786589,,,
3,200,0.24216689268747965,0.789814,,,
3,300,0.26225693623224894,0.781044,,,
3,-1,0.2942383011182149,0.771024,74.6300,5.79,8630
4,100,0.3245817462603251,0.687244,,,
4,200,0.3423611442248026,0.680711,,,
4,300,0.35989423990249636,0.681215,,,
4,-1,0.38515362739562986,0.675660,73.1200,5.21,9604
5,100,0.40502052307128905,0.619940,,,
5,200,0.42327537933985393,0.614889,,,
5,300,0.44123989741007485,0.610163,,,
5,-1,0.4671518087387085,0.609976,74.8500,4.92,10163
6,100,0.4918805758158366,0.549857,,,
6,200,0.509750505288442,0.562927,,,
6,300,0.5270857771237691,0.556166,,,
6,-1,0.5540291587511699,0.554615,80.2400,4.96,10075
7,100,0.5788309494654338,0.523224,,,
7,200,0.5960488041241964,0.520784,,,
7,300,0.6145972728729248,0.518743,,,
7,-1,0.6415885408719381,0.520847,82.5900,4.99,10022
8,100,0.6668105800946553,0.492763,,,
8,200,0.6840980172157287,0.483482,,,
8,300,0.70088605483373,0.483998,,,
8,-1,0.7261329094568888,0.481522,81.9700,4.82,10373
9,100,0.7459224780400594,0.455454,,,
9,200,0.7636681993802389,0.453488,,,
9,300,0.7809415936470032,0.456736,,,
9,-1,0.8083234747250875,0.454247,82.0300,4.93,10139
10,100,0.8307549715042114,0.414198,,,
10,200,0.8488165338834127,0.426032,,,
10,300,0.8670153021812439,0.423561,,,
10,-1,0.893682070573171,0.423650,83.7900,5.12,9763
11,100,0.9212244908014934,0.396668,,,
11,200,0.9399009346961975,0.396461,,,
11,300,0.9598349968592326,0.401971,,,
11,-1,0.9901307384173076,0.401042,82.4500,5.54,9026
12,100,1.010767674446106,0.368122,,,
12,200,1.0305569648742676,0.367716,,,
12,300,1.0473725159962972,0.372374,,,
12,-1,1.0762736876805623,0.374145,83.9500,5.17,9674
13,100,1.1012277841567992,0.342836,,,
13,200,1.1184831897417704,0.350886,,,
13,300,1.1351771473884582,0.355089,,,
13,-1,1.1611624797185263,0.353848,83.7700,4.84,10327
14,100,1.1814424037933349,0.312164,,,
14,200,1.1985493898391724,0.319961,,,
14,300,1.2169230779012044,0.321972,,,
