epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,100,0.035005744298299155,1.732885,,,
1,200,0.05531023740768433,1.560718,,,
1,300,0.07612524032592774,1.445214,,,
1,-1,0.10678505500157674,1.361631,59.6000,6.41,7804
2,100,0.138005002339681,1.015756,,,
2,200,0.15848400592803955,0.984973,,,
2,300,0.1794522960980733,0.962636,,,
2,-1,0.21121114095052082,0.939668,68.0100,5.95,8408
3,100,0.24390222231547037,0.795475,,,
3,200,0.2652202924092611,0.795604,,,
3,300,0.2853400746981303,0.783993,,,
3,-1,0.3162410378456116,0.773680,76.0900,5.97,8369
4,100,0.3514201045036316,0.687270,,,
4,200,0.3734897057215373,0.684691,,,
4,300,0.3946739673614502,0.683032,,,
4,-1,0.4229260444641113,0.679656,74.1700,6.08,8230
5,100,0.4487185875574748,0.622651,,,
5,200,0.4699922800064087,0.616722,,,
5,300,0.490323011080424,0.612112,,,
5,-1,0.5172385533650716,0.610480,78.4400,5.66,8836
6,100,0.5485098361968994,0.556780,,,
6,200,0.5700908342997233,0.564516,,,
6,300,0.5912122329076132,0.560168,,,
6,-1,0.6199048678080241,0.558507,81.6300,5.84,8565
7,100,0.6501545429229736,0.519648,,,
7,200,0.6726787686347961,0.515106,,,
7,300,0.6943515141805013,0.517439,,,
7,-1,0.7227150718371074,0.518843,78.3900,5.86,8530
8,100,0.7476534684499104,0.492907,,,
8,200,0.7701812505722045,0.482942,,,
8,300,0.7934609015782674,0.481874,,,
8,-1,0.8244203607241313,0.482003,80.4800,6.10,8194
9,100,0.8509155869483948,0.455276,,,
9,200,0.8737179080645243,0.450229,,,
9,300,0.8972580750783284,0.450283,,,
9,-1,0.9262919108072917,0.448231,81.0600,6.11,8180
10,100,0.9515412807464599,0.411465,,,
10,200,0.9737521251042683,0.421125,,,
10,300,0.997312045097351,0.420731,,,
10,-1,1.0272130489349365,0.421643,81.4700,6.06,8257
11,100,1.0537407914797465,0.380189,,,
11,200,1.0767725586891175,0.386532,,,
11,300,1.1010658462842307,0.393118,,,
11,-1,1.1318691651026407,0.394813,81.5700,6.28,7963
12,100,1.1575233499209086,0.366236,,,
12,200,1.1802334507306418,0.368402,,,
12,300,1.2021085818608601,0.372985,,,
12,-1,1.2338168700536092,0.374343,84.2200,6.12,8174
13,100,1.2660298903783163,0.338595,,,
13,200,1.2900474230448404,0.349322,,,
13,300,1.3121050794919331,0.350876,,,
13,-1,1.341850475470225,0.349648,81.8000,6.16,8121
14,100,1.3685756882031759,0.316413,,,
14,200,1.3939505378405253,0.322138,,,
14,300,1.419130841890971,0.324812,,,
14,-1,1.4502687493960063,0.329004,84.8500,6.51,7686
15,100,1.4820611278216045,0.305993,,,
15,200,1.504651419321696,0.304974,,,
15,300,1.5285900433858235,0.310087,,,
15,-1,1.5593475143114726,0.310105,85.3900,6.22,8043
16,100,1.5913419644037883,0.281148,,,
16,200,1.6144290129343668,0.286017,,,
16,300,1.638685131072998,0.293475,,,
16,-1,1.67170991897583,0.295611,85.8600,6.42,7787
17,100,1.7040854652722677,0.282132,,,
17,200,1.727657687664032,0.276774,,,
17,300,1.7524887482325235,0.275158,,,
17,-1,1.7841860771179199,0.275830,84.8000,6.42,7788
18,100,1.8107571800549824,0.257929,,,
18,200,1.834834086894989,0.265345,,,
18,300,1.8588705341021219,0.265121,,,
18,-1,1.8905152241388956,0.264381,86.1200,6.38,7837
19,100,1.921938951810201,0.232767,,,
19,200,1.9455921252568562,0.240661,,,
19,300,1.9701425711313882,0.239483,,,
19,-1,2.0031646887461343,0.242000,86.4900,6.45,7756
20,100,2.033922028541565,0.221002,,,
20,200,2.0574544429779054,0.226948,,,
20,300,2.0833489060401917,0.232501,,,
20,-1,2.11488299369812,0.233714,87.0200,6.38,7834
21,100,2.146537661552429,0.207019,,,
21,200,2.169719449679057,0.214980,,,
21,300,2.1931145071983336,0.221577,,,
21,-1,2.2248385111490885,0.222472,86.9900,6.28,7959
22,100,2.251672987143199,0.200687,,,
22,200,2.276388919353485,0.200499,,,
22,300,2.3001182595888774,0.205202,,,
22,-1,2.3319581747055054,0.206801,86.6600,6.43,7780
23,100,2.3608757932980855,0.192078,,,
23,200,2.3865453282992046,0.194157,,,
23,300,2.4106177926063537,0.192886,,,
23,-1,2.442349012692769,0.195113,87.4200,6.62,7549
24,100,2.4749207417170207,0.178452,,,
24,200,2.49943976799647,0.180863,,,
24,300,2.523118090629578,0.182662,,,
24,-1,2.5547508080800374,0.183331,86.5600,6.43,7780
25,100,2.5821093996365865,0.160812,,,
25,200,2.6067913214365643,0.167163,,,
25,300,2.630705837408702,0.166725,,,
25,-1,2.6622372110684713,0.169044,87.5000,6.45,7753
26,100,2.695239277680715,0.149796,,,
26,200,2.7202210863431295,0.153935,,,
26,300,2.742879311243693,0.156568,,,
26,-1,2.77488268216451,0.158388,87.0400,6.42,7790
27,100,2.800866889953613,0.138735,,,
27,200,2.825093158086141,0.143190,,,
27,300,2.8494850715001423,0.144381,,,
27,-1,2.880783518155416,0.146115,88.1800,6.35,7869
28,100,2.9133628606796265,0.129104,,,
28,200,2.938245987892151,0.135739,,,
28,300,2.9611021359761556,0.140373,,,
28,-1,2.993290328979492,0.139330,88.2100,6.43,7779
29,100,3.0258323311805726,0.131979,,,
29,200,3.0500064134597777,0.131205,,,
29,300,3.0742305159568786,0.131268,,,
29,-1,3.108129417896271,0.132989,88.3200,6.55,7630
30,100,3.142184511820475,0.113679,,,
30,200,3.1674930532773335,0.113275,,,
30,300,3.19347296555837,0.118578,,,
30,-1,3.2279825528462727,0.119551,88.7200,6.86,7292
31,100,3.2615883628527325,0.109196,,,
31,200,3.28755761384964,0.111585,,,
31,300,3.3120596488316854,0.112933,,,
31,-1,3.345002233982086,0.113732,87.7900,6.70,7464
32,100,3.373006240526835,0.098728,,,
32,200,3.3980249047279356,0.104725,,,
32,300,3.423971438407898,0.105311,,,
32,-1,3.4574538509051007,0.105630,88.2600,6.75,7411
33,100,3.485832365353902,0.089079,,,
33,200,3.5116205771764117,0.091325,,,
33,300,3.5379509568214416,0.096836,,,
33,-1,3.572459268569946,0.097318,88.9400,6.90,7246
34,100,3.6066541274388633,0.086516,,,
34,200,3.6321988821029665,0.087338,,,
34,300,3.658134365081787,0.087775,,,
34,-1,3.6905527393023174,0.090173,88.8600,6.77,7388
35,100,3.718876620133718,0.082650,,,
35,200,3.7443419377009075,0.082630,,,
35,300,3.7702543059984843,0.083960,,,
35,-1,3.8037409941355387,0.083367,88.5100,6.79,7362
36,100,3.832521649201711,0.076316,,,
36,200,3.8582207520802814,0.076596,,,
36,300,3.8842310905456543,0.076464,,,
36,-1,3.9184633612632753,0.077804,88.5800,6.88,7264
37,100,3.947095723946889,0.062879,,,
37,200,3.97324849764506,0.066509,,,
37,300,3.9988895416259767,0.067100,,,
37,-1,4.033161493142446,0.066118,89.0800,6.88,7266
38,100,4.066710023085276,0.061472,,,
38,200,4.093880033493042,0.067327,,,
38,300,4.121936897436778,0.068247,,,
38,-1,4.156196256478627,0.066553,88.8100,7.07,7076
39,100,4.185188472270966,0.059960,,,
39,200,4.210321092605591,0.060075,,,
39,300,4.2359417597452795,0.060510,,,
39,-1,4.2702009081840515,0.061628,89.3500,6.84,7310
40,100,4.30349630912145,0.048371,,,
40,200,4.328271901607513,0.051151,,,
40,300,4.3542269468307495,0.051662,,,
40,-1,4.387375342845917,0.051662,89.4200,6.69,7476
41,100,4.422763272126516,0.046708,,,
41,200,4.448759619394938,0.049027,,,
41,300,4.475444972515106,0.047937,,,
41,-1,4.509517304102579,0.047678,89.4900,7.00,7145
42,100,4.544692464669546,0.047635,,,
42,200,4.571492969989777,0.047961,,,
42,300,4.601340552171071,0.047517,,,
42,-1,4.636178108056386,0.046908,89.5300,7.21,6931
43,100,4.673219752311707,0.040519,,,
43,200,4.7010501225789385,0.043074,,,
43,300,4.7288158973058065,0.042580,,,
43,-1,4.762480918566386,0.043702,89.6900,7.25,6897
44,100,4.795022467772166,0.038677,,,
44,200,4.82094954252243,0.036510,,,
44,300,4.845769333839416,0.035856,,,
44,-1,4.878901739915212,0.038207,89.7200,6.67,7495
45,100,4.912126036485036,0.031522,,,
45,200,4.9382514754931135,0.033955,,,
45,300,4.96562918027242,0.034656,,,
45,-1,5.001295650005341,0.035264,90.0100,7.02,7120
46,100,5.03839822212855,0.036709,,,
46,200,5.065070474147797,0.033775,,,
46,300,5.091701992352804,0.033150,,,
46,-1,5.126913400491079,0.032998,90.1900,7.19,6959
47,100,5.164062837759654,0.027043,,,
47,200,5.192563041051229,0.026983,,,
47,300,5.218598051865896,0.028623,,,
47,-1,5.252005656560262,0.028327,89.8300,7.18,6966
48,100,5.28006450732549,0.026468,,,
48,200,5.3061219453811646,0.027190,,,
48,300,5.332678504784902,0.027361,,,
48,-1,5.368412351608276,0.027895,90.1300,6.98,7159
49,100,5.399561365445455,0.022277,,,
49,200,5.42623321612676,0.022138,,,
49,300,5.450296060244242,0.022575,,,
49,-1,5.484862804412842,0.022623,90.0000,6.99,7156
50,100,5.519450108210246,0.023157,,,
50,200,5.550267060597737,0.024198,,,
50,300,5.582861546675364,0.023841,,,
50,-1,5.620335876941681,0.023704,90.1700,8.13,6151
