epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,100,0.044363288084665935,1.735590,,,
1,200,0.07355904579162598,1.565263,,,
1,300,0.10380467176437377,1.450085,,,
1,-1,0.14440324703852336,1.366954,59.2300,8.66,5771
2,100,0.1897254983584086,1.030317,,,
2,200,0.21826263268788657,0.993934,,,
2,300,0.24693357547124226,0.968639,,,
2,-1,0.28740366697311404,0.946835,67.3100,8.18,6111
3,100,0.3351890762646993,0.802662,,,
3,200,0.3693027337392171,0.799457,,,
3,300,0.3978225072224935,0.786740,,,
3,-1,0.43497552076975504,0.775986,75.4200,8.45,5919
4,100,0.47491159439086916,0.686947,,,
4,200,0.5035707910855611,0.683088,,,
4,300,0.5326589028040568,0.682402,,,
4,-1,0.5696513334910075,0.677115,77.3100,7.68,6512
5,100,0.6099079569180806,0.613276,,,
5,200,0.638585368792216,0.608641,,,
5,300,0.6690740982691447,0.606327,,,
5,-1,0.7059243202209473,0.604147,77.3800,7.76,6443
6,100,0.743817937374115,0.542357,,,
6,200,0.7716959635416667,0.552222,,,
6,300,0.8001496195793152,0.547910,,,
6,-1,0.8339828769365947,0.546644,81.7000,7.30,6851
7,100,0.8693653702735901,0.500927,,,
7,200,0.8965426445007324,0.496702,,,
7,300,0.9232929468154907,0.495376,,,
7,-1,0.9567797581354777,0.496393,81.0000,7.00,7147
8,100,0.9850860834121704,0.470854,,,
8,200,1.0116711695988974,0.459939,,,
8,300,1.037675642967224,0.460567,,,
8,-1,1.0711605509122213,0.456859,83.3500,6.86,7286
9,100,1.1120489915211995,0.412212,,,
9,200,1.1446221907933554,0.410994,,,
9,300,1.1766984144846597,0.408679,,,
9,-1,1.2148645083109537,0.406740,83.9400,8.22,6085
10,100,1.2543217658996582,0.361261,,,
10,200,1.28302081823349,0.367405,,,
10,300,1.3133948564529419,0.365197,,,
10,-1,1.3529966354370118,0.364011,85.1400,7.91,6323
11,100,1.3949717243512472,0.331723,,,
11,200,1.4257271687189739,0.334795,,,
11,300,1.4546138366063437,0.335713,,,
11,-1,1.493257478872935,0.333510,85.2600,8.04,6218
12,100,1.5322456200917562,0.293776,,,
12,200,1.5640011509259542,0.298303,,,
12,300,1.5955485264460245,0.302046,,,
12,-1,1.6355767766634624,0.303001,86.3100,8.17,6120
13,100,1.6784724076588948,0.268613,,,
13,200,1.7098843415578207,0.274697,,,
13,300,1.7430296540260315,0.274832,,,
13,-1,1.7827052275339763,0.272431,86.3900,8.44,5921
14,100,1.819066552321116,0.241114,,,
14,200,1.8472105622291566,0.243150,,,
14,300,1.8768343607584634,0.241461,,,
14,-1,1.9132963021596272,0.242843,87.3300,7.48,6687
15,100,1.9529706557591757,0.225364,,,
15,200,1.9862188816070556,0.224023,,,
15,300,2.0186845739682515,0.226064,,,
15,-1,2.05738529364268,0.225689,87.2300,8.28,6041
16,100,2.0885180513064068,0.208629,,,
16,200,2.1192405819892883,0.206137,,,
16,300,2.1485608418782554,0.211259,,,
16,-1,2.183522939682007,0.210515,87.7200,7.57,6607
17,100,2.2233107686042786,0.207949,,,
17,200,2.25240531762441,0.200849,,,
17,300,2.2814608176549274,0.199246,,,
17,-1,2.317929196357727,0.196882,87.5800,7.70,6489
18,100,2.3497960448265074,0.189563,,,
18,200,2.3783695618311564,0.192769,,,
18,300,2.407292322317759,0.194573,,,
18,-1,2.4441144307454428,0.195410,87.7700,7.57,6604
