epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,-1,0.03991842269897461,1.778097,38.6800,2.40,4175
2,-1,0.07476093769073486,1.479373,42.7400,1.99,5022
3,-1,0.1072297732035319,1.299824,53.8500,1.86,5388
4,-1,0.1378989855448405,1.182170,48.3100,1.75,5715
5,-1,0.1645165761311849,1.077802,60.0200,1.60,6262
6,-1,0.19358443816502888,0.995342,61.4400,1.65,6052
7,-1,0.2240974982579549,0.934827,63.7100,1.74,5747
8,-1,0.2543917536735535,0.867135,61.0900,1.73,5797
9,-1,0.2825827399889628,0.803727,62.0700,1.69,5912
10,-1,0.3104069431622823,0.759486,62.4300,1.67,5990
11,-1,0.3415043433507284,0.712300,70.5800,1.87,5360
12,-1,0.37173979679743446,0.676566,70.6900,1.73,5794
13,-1,0.4003045598665873,0.616233,71.8500,1.62,6174
14,-1,0.4298694133758545,0.605527,66.1300,1.68,5959
15,-1,0.45873680512110393,0.568273,73.0800,1.73,5774
16,-1,0.488669228553772,0.523359,74.2800,1.70,5867
17,-1,0.518573009967804,0.486038,73.6400,1.70,5887
18,-1,0.5465134580930074,0.473393,75.0400,1.68,5965
19,-1,0.5751086036364238,0.459967,74.4900,1.62,6175
20,-1,0.6043384273846945,0.424860,74.6100,1.75,5702
21,-1,0.6322919925053915,0.379445,75.7600,1.68,5963
22,-1,0.6619551221529643,0.362653,76.1400,1.69,5917
23,-1,0.6921082417170207,0.334328,76.5800,1.71,5832
24,-1,0.7210452477137248,0.316974,76.8900,1.64,6088
25,-1,0.7518700281778972,0.325872,75.7500,1.76,5683
26,-1,0.7805595318476359,0.309899,76.3900,1.72,5810
27,-1,0.8081257065137227,0.286288,75.0500,1.65,6046
28,-1,0.8366142590840657,0.249795,78.2500,1.71,5851
29,-1,0.8669558167457581,0.258181,78.2000,1.72,5801
30,-1,0.896556305885315,0.231553,77.8300,1.78,5631
31,-1,0.9248214364051819,0.200947,77.8800,1.70,5897
32,-1,0.9529258966445923,0.178647,78.7500,1.69,5931
33,-1,0.9840225656827291,0.157081,79.2100,1.77,5637
34,-1,1.0149011015892029,0.159801,79.1000,1.76,5673
35,-1,1.0432089726130167,0.148595,77.7200,1.70,5888
36,-1,1.071755321820577,0.128021,78.8700,1.71,5839
37,-1,1.0995987455050151,0.108269,79.5300,1.67,5986
38,-1,1.1294528325398763,0.103947,79.4000,1.70,5888
39,-1,1.159338410695394,0.116937,79.3300,1.79,5577
40,-1,1.1876291791598002,0.091297,80.2000,1.70,5891
41,-1,1.2181206146876018,0.093040,79.9300,1.74,5746
42,-1,1.2449296514193218,0.087568,80.2100,1.61,6217
43,-1,1.2736817042032877,0.082980,80.1000,1.64,6114
44,-1,1.302216108640035,0.064531,79.9200,1.71,5841
45,-1,1.3307700594266256,0.051330,80.1800,1.71,5837
46,-1,1.3605884035428366,0.053568,80.0000,1.79,5590
47,-1,1.3899272243181864,0.047401,80.3500,1.76,5681
48,-1,1.420436187585195,0.045855,80.3700,1.74,5745
49,-1,1.4496652881304424,0.041521,80.7800,1.66,6006
50,-1,1.479992655913035,0.036790,80.5300,1.73,5783
51,-1,1.509504501024882,0.033810,80.4400,1.77,5648
52,-1,1.5383638620376587,0.032858,80.4300,1.73,5775
53,-1,1.56617112159729,0.028203,80.4300,1.67,5994
54,-1,1.5935645302136738,0.030424,80.6000,1.64,6084
55,-1,1.6207114458084106,0.030903,80.6200,1.63,6140
56,-1,1.6500175754229227,0.028417,80.6200,1.76,5687
57,-1,1.677958333492279,0.027373,80.7700,1.68,5965
58,-1,1.7068127274513245,0.024881,80.6200,1.73,5776
59,-1,1.7356610695521038,0.026920,80.7100,1.73,5778
60,-1,1.7665584127108256,0.032504,80.6200,1.85,5395
