epoch,step,wall_min,train_loss,val_acc,epoch_time,imgs_per_sec
1,100,0.033631483713785805,1.741788,,,
1,200,0.053370213508605956,1.560733,,,
1,300,0.0733729084332784,1.439215,,,
1,-1,0.10255335172017416,1.351966,59.7700,6.15,8126
2,100,0.1297205964724223,0.996530,,,
2,200,0.1493378202120463,0.961492,,,
2,300,0.16849467754364014,0.937685,,,
2,-1,0.19926620721817018,0.915191,69.1000,5.71,8760
3,100,0.2258400599161784,0.762594,,,
3,200,0.24538766940434772,0.768259,,,
3,300,0.2635797421137492,0.757172,,,
3,-1,0.29312838713328043,0.746053,76.1100,5.54,9032
4,100,0.3217194755872091,0.660342,,,
4,200,0.34020320177078245,0.659708,,,
4,300,0.3597359855969747,0.660294,,,
4,-1,0.38688347339630125,0.657979,75.8700,5.54,9028
5,100,0.40934783617655435,0.592351,,,
5,200,0.42876331011454266,0.592357,,,
5,300,0.4471888065338135,0.589648,,,
5,-1,0.4739347418149312,0.588722,79.4500,5.22,9573
6,100,0.4983105381329854,0.526716,,,
6,200,0.5168274919191996,0.541697,,,
6,300,0.5366305669148763,0.538879,,,
6,-1,0.5658437410990397,0.537646,81.5500,5.42,9221
7,100,0.59021022717158,0.499287,,,
7,200,0.610333255926768,0.495465,,,
7,300,0.629386035601298,0.498103,,,
7,-1,0.6563796957333883,0.500597,81.7400,5.33,9372
8,100,0.6794996857643127,0.469224,,,
8,200,0.699557344118754,0.462089,,,
8,300,0.7189258337020874,0.463090,,,
8,-1,0.744814916451772,0.461798,81.9400,5.22,9581
9,100,0.7690977295239766,0.445360,,,
9,200,0.7873353163401285,0.437173,,,
9,300,0.806064490477244,0.438476,,,
9,-1,0.8330485304196675,0.436496,82.4000,5.21,9601
10,100,0.8569227576255798,0.397165,,,
10,200,0.8762916008631388,0.406666,,,
10,300,0.8960132201512655,0.405886,,,
10,-1,0.9225207805633545,0.406469,83.0600,5.28,9469
11,100,0.9458962917327881,0.375327,,,
11,200,0.9638055443763733,0.376995,,,
11,300,0.9822239955266316,0.383095,,,
11,-1,1.0082845091819763,0.383509,83.0200,5.06,9883
12,100,1.0305190722147624,0.353267,,,
12,200,1.0494686166445415,0.351710,,,
12,300,1.0678205331166586,0.356561,,,
12,-1,1.0947481632232665,0.357974,83.2300,5.19,9638
13,100,1.119316856066386,0.323974,,,
13,200,1.1380209843317668,0.335401,,,
13,300,1.1566017667452495,0.338222,,,
13,-1,1.1841363469759623,0.337265,85.1100,5.27,9491
14,100,1.2079851190249125,0.302835,,,
14,200,1.227253806591034,0.305432,,,
14,300,1.2457642118136087,0.309885,,,
14,-1,1.2714970668156942,0.313654,83.8800,5.15,9708
15,100,1.2935070474942525,0.286932,,,
15,200,1.3132683277130126,0.290158,,,
15,300,1.3320492108662922,0.296868,,,
15,-1,1.3586342334747314,0.297710,84.9100,5.23,9564
16,100,1.381697158018748,0.267445,,,
16,200,1.4018197695414225,0.274676,,,
16,300,1.4216254790623983,0.280216,,,
16,-1,1.4486121575037638,0.282918,85.2400,5.40,9262
17,100,1.47205042441686,0.264248,,,
17,200,1.491241959730784,0.261270,,,
17,300,1.5102356791496276,0.262749,,,
17,-1,1.5367366989453635,0.263621,86.5700,5.20,9621
18,100,1.562959090868632,0.244547,,,
18,200,1.5823477188746133,0.245818,,,
18,300,1.6014850656191508,0.249945,,,
18,-1,1.6281726400057475,0.249867,86.7800,5.40,9258
19,100,1.6522823810577392,0.222408,,,
19,200,1.6718206485112508,0.227790,,,
19,300,1.692233177026113,0.230544,,,
19,-1,1.7191782553990682,0.235344,87.3600,5.37,9306
20,100,1.7439479748408,0.214153,,,
20,200,1.7635069807370505,0.219909,,,
20,300,1.7818557580312093,0.221848,,,
20,-1,1.8088194767634074,0.222958,86.1500,5.28,9467
21,100,1.8309562007586162,0.188176,,,
21,200,1.8502073248227437,0.197839,,,
21,300,1.8700403928756715,0.205966,,,
21,-1,1.896476149559021,0.208345,86.9000,5.26,9507
22,100,1.9193646907806396,0.193207,,,
22,200,1.9379713972409567,0.190001,,,
22,300,1.9582281112670898,0.195437,,,
22,-1,1.9853303194046021,0.195708,86.0400,5.33,9379
23,100,2.0071100115776064,0.181816,,,
23,200,2.0281606594721477,0.181484,,,
23,300,2.046863309542338,0.180612,,,
23,-1,2.0732379953066506,0.183430,85.1700,5.27,9480
24,100,2.09507075548172,0.167621,,,
24,200,2.1154647986094157,0.169222,,,
24,300,2.1363321940104165,0.170289,,,
24,-1,2.1643575350443522,0.171346,87.7400,5.47,9146
25,100,2.1887669761975608,0.149264,,,
25,200,2.2089642882347107,0.155317,,,
25,300,2.229286555449168,0.158673,,,
25,-1,2.257002063592275,0.160908,88.3300,5.47,9138
26,100,2.280841064453125,0.142084,,,
26,200,2.3007017532984415,0.144220,,,
26,300,2.321742920080821,0.145162,,,
26,-1,2.3503126303354898,0.146872,87.5600,5.51,9076
27,100,2.373053034146627,0.136275,,,
27,200,2.3945361375808716,0.138295,,,
27,300,2.4153860012690225,0.138024,,,
27,-1,2.4434264341990155,0.139065,88.7600,5.59,8950
28,100,2.4676898678143817,0.123386,,,
28,200,2.48702081044515,0.124635,,,
28,300,2.504974337418874,0.130033,,,
28,-1,2.530331218242645,0.130593,87.7300,5.13,9753
29,100,2.554960811138153,0.121480,,,
29,200,2.573791726430257,0.117641,,,
29,300,2.5925358176231383,0.118619,,,
29,-1,2.620675738652547,0.121600,86.6300,5.42,9224
30,100,2.6432382345199583,0.104599,,,
30,200,2.661437992254893,0.106031,,,
30,300,2.67979340950648,0.111819,,,
30,-1,2.70593740940094,0.112203,88.8500,5.12,9774
31,100,2.7299182852109274,0.100827,,,
31,200,2.7500858028729755,0.102799,,,
31,300,2.7690383911132814,0.103192,,,
31,-1,2.796370792388916,0.105190,88.4400,5.33,9380
32,100,2.8184061527252195,0.093388,,,
32,200,2.8371987978617352,0.101710,,,
32,300,2.857543170452118,0.101665,,,
32,-1,2.884917426109314,0.101233,89.1700,5.31,9411
33,100,2.9090441862742105,0.081835,,,
33,200,2.928549333413442,0.083653,,,
33,300,2.947555176417033,0.087811,,,
33,-1,2.9733365774154663,0.089121,88.7800,5.21,9595
34,100,2.995639963944753,0.080528,,,
34,200,3.015352956453959,0.084717,,,
34,300,3.0348063588142393,0.084494,,,
34,-1,3.0603318055470785,0.084310,88.8700,5.22,9579
35,100,3.0835660378138225,0.071936,,,
35,200,3.1024430910746257,0.074950,,,
35,300,3.12138245900472,0.076428,,,
35,-1,3.148937499523163,0.076729,88.7800,5.32,9405
36,100,3.1719333569208783,0.068830,,,
36,200,3.1917684276898703,0.068151,,,
36,300,3.2105229338010153,0.068036,,,
36,-1,3.236788749694824,0.070195,89.5700,5.27,9486
37,100,3.260741877555847,0.060428,,,
37,200,3.2804545362790427,0.061146,,,
37,300,3.299013562997182,0.062342,,,
37,-1,3.326748418807983,0.063201,89.3500,5.31,9423
38,100,3.3500086704889935,0.066051,,,
38,200,3.369302781422933,0.064200,,,
38,300,3.3889102697372437,0.061750,,,
38,-1,3.415467091401418,0.060321,88.9100,5.32,9393
39,100,3.4378469387690225,0.049711,,,
39,200,3.4572383403778075,0.050303,,,
39,300,3.4764745910962422,0.052500,,,
39,-1,3.504124371210734,0.054267,89.1300,5.32,9400
40,100,3.526396683851878,0.049368,,,
40,200,3.548356759548187,0.049038,,,
40,300,3.5677188436190286,0.049993,,,
40,-1,3.5942453861236574,0.049250,89.2800,5.41,9247
41,100,3.6173428614934284,0.043157,,,
41,200,3.636132872104645,0.043278,,,
41,300,3.655195939540863,0.042970,,,
41,-1,3.6836060921351117,0.043229,89.0100,5.36,9326
42,100,3.705732051531474,0.045760,,,
42,200,3.724892787138621,0.044418,,,
42,300,3.7440682291984557,0.043122,,,
42,-1,3.772182552019755,0.043276,89.6400,5.31,9408
43,100,3.796395226319631,0.035950,,,
43,200,3.8156931678454082,0.037182,,,
43,300,3.8357979893684386,0.036822,,,
43,-1,3.862242277463277,0.037823,89.4700,5.31,9410
44,100,3.884876767794291,0.036825,,,
44,200,3.905060958862305,0.033093,,,
44,300,3.924305268128713,0.031875,,,
44,-1,3.9509453177452087,0.033138,89.8500,5.32,9395
45,100,3.97449334859848,0.032600,,,
45,200,3.993413297335307,0.031381,,,
45,300,4.011734286944072,0.032286,,,
45,-1,4.039014005661011,0.032720,89.9500,5.20,9616
46,100,4.062654999891917,0.030668,,,
46,200,4.081597618261973,0.028488,,,
46,300,4.100413628419241,0.028511,,,
46,-1,4.12770912249883,0.028758,89.9500,5.23,9554
47,100,4.150393545627594,0.023540,,,
47,200,4.169854740301768,0.023405,,,
47,300,4.189458739757538,0.023783,,,
47,-1,4.218135380744934,0.024191,89.7600,5.43,9216
48,100,4.2404647946357725,0.022532,,,
48,200,4.259550984700521,0.022745,,,
48,300,4.278820411364237,0.022111,,,
48,-1,4.30589851140976,0.022619,90.1000,5.27,9495
49,100,4.330299107233683,0.018604,,,
49,200,4.3498319784800215,0.019748,,,
49,300,4.369198218981425,0.020635,,,
49,-1,4.395927707354228,0.021772,90.2400,5.31,9412
50,100,4.420134341716766,0.017696,,,
50,200,4.439975539843242,0.020167,,,
50,300,4.457986537615458,0.019253,,,
50,-1,4.483589855829875,0.019675,90.1400,5.17,9678
51,100,4.5061933954556785,0.017414,,,
51,200,4.525641751289368,0.018693,,,
51,300,4.547292522589365,0.017944,,,
51,-1,4.573878371715546,0.017800,90.2400,5.42,9230
52,100,4.596852242946625,0.016708,,,
52,200,4.616751829783122,0.016052,,,
52,300,4.636079370975494,0.015440,,,
52,-1,4.662063582738241,0.015831,90.1500,5.29,9450
53,100,4.684521396954854,0.016603,,,
53,200,4.702532919247945,0.016765,,,
53,300,4.721357011795044,0.015926,,,
53,-1,4.74744340578715,0.015620,90.3900,5.12,9760
54,100,4.7712848544120785,0.013620,,,
54,200,4.791041680177053,0.014629,,,
54,300,4.8096098105112715,0.014803,,,
54,-1,4.836164975166321,0.014971,90.3600,5.23,9561
55,100,4.859435613950094,0.014382,,,
55,200,4.879033958911895,0.013931,,,
55,300,4.89755091269811,0.013841,,,
55,-1,4.925383786360423,0.013999,90.4900,5.35,9340
56,100,4.948786675930023,0.016045,,,
56,200,4.967307217915853,0.013906,,,
56,300,4.986629994710286,0.013119,,,
