Experiment,Optimizer,Type,Data Fraction,Best Val@1 (%),Best Epoch,Total Time (min),Median Epoch Time (s),Images/sec,Top-1 @ 10min (%),Time to 85% (min)
A1_full,AdamW,full,1.0,90.28,228,5.00,4.8,10382,0.00,1.27
M1_full,Muon,full,1.0,90.49,220,5.37,5.3,9418,0.00,1.18
F5_full,FALCON v5,full,1.0,90.33,236,6.99,6.7,7486,0.00,1.56
A1_t10,AdamW,fixed_time,1.0,90.28,228,5.18,5.0,10034,0.00,1.33
M1_t10,Muon,fixed_time,1.0,90.49,220,5.90,5.9,8508,0.00,1.20
F5_t10,FALCON v5,fixed_time,1.0,87.77,72,2.44,7.8,6383,0.00,1.35
A1_20p,AdamW,data_eff,0.2,80.66,56,1.71,1.6,6276,0.00,0.00
M1_20p,Muon,data_eff,0.2,80.78,49,1.77,1.7,5838,0.00,0.00
F5_20p,FALCON v5,data_eff,0.2,79.89,47,2.34,2.2,4585,0.00,0.00
A1_10p,AdamW,data_eff,0.1,75.43,99,2.40,1.3,3836,0.00,0.00
M1_10p,Muon,data_eff,0.1,75.37,86,2.33,1.4,3700,0.00,0.00
F5_10p,FALCON v5,data_eff,0.1,74.40,86,2.94,1.6,3064,0.00,0.00
